model,recall,precision
VGG16,1.0,0.625
VGG16,1.0,0.6260032102728732
VGG16,1.0,0.6270096463022508
VGG16,1.0,0.6280193236714976
VGG16,1.0,0.6290322580645161
VGG16,1.0,0.630048465266559
VGG16,1.0,0.6310679611650486
VGG16,1.0,0.6320907617504052
VGG16,1.0,0.6331168831168831
VGG16,1.0,0.6341463414634146
VGG16,1.0,0.6351791530944625
VGG16,1.0,0.636215334420881
VGG16,1.0,0.6372549019607843
VGG16,1.0,0.6382978723404256
VGG16,1.0,0.639344262295082
VGG16,1.0,0.6403940886699507
VGG16,1.0,0.6414473684210527
VGG16,1.0,0.642504118616145
VGG16,1.0,0.6435643564356436
VGG16,1.0,0.6446280991735537
VGG16,0.9974358974358974,0.6440397350993378
VGG16,0.9974358974358974,0.6451077943615257
VGG16,0.9974358974358974,0.6461794019933554
VGG16,0.9974358974358974,0.6472545757071547
VGG16,0.9974358974358974,0.6483333333333333
VGG16,0.9974358974358974,0.6494156928213689
VGG16,0.9974358974358974,0.6505016722408027
VGG16,0.9974358974358974,0.6515912897822446
VGG16,0.9974358974358974,0.6526845637583892
VGG16,0.9974358974358974,0.653781512605042
VGG16,0.9974358974358974,0.6548821548821548
VGG16,0.9974358974358974,0.6559865092748736
VGG16,0.9974358974358974,0.6570945945945946
VGG16,0.9974358974358974,0.6582064297800339
VGG16,0.9974358974358974,0.6593220338983051
VGG16,0.9974358974358974,0.6604414261460102
VGG16,0.9974358974358974,0.6615646258503401
VGG16,0.9974358974358974,0.6626916524701874
VGG16,0.9974358974358974,0.6638225255972696
VGG16,0.9974358974358974,0.6649572649572649
VGG16,0.9974358974358974,0.666095890410959
VGG16,0.9974358974358974,0.6672384219554031
VGG16,0.9974358974358974,0.6683848797250859
VGG16,0.9974358974358974,0.6695352839931153
VGG16,0.9974358974358974,0.6706896551724137
VGG16,0.9974358974358974,0.6718480138169257
VGG16,0.9974358974358974,0.6730103806228374
VGG16,0.9974358974358974,0.6741767764298093
VGG16,0.9974358974358974,0.6753472222222222
VGG16,0.9974358974358974,0.6765217391304348
VGG16,0.9974358974358974,0.6777003484320557
VGG16,0.9974358974358974,0.6788830715532286
VGG16,0.9974358974358974,0.6800699300699301
VGG16,0.9974358974358974,0.681260945709282
VGG16,0.9974358974358974,0.6824561403508772
VGG16,0.9974358974358974,0.6836555360281195
VGG16,0.9974358974358974,0.6848591549295775
VGG16,0.9974358974358974,0.6860670194003528
VGG16,0.9974358974358974,0.6872791519434629
VGG16,0.9974358974358974,0.6884955752212389
VGG16,0.9974358974358974,0.6897163120567376
VGG16,0.9974358974358974,0.6909413854351687
VGG16,0.9974358974358974,0.6921708185053381
VGG16,0.9974358974358974,0.6934046345811051
VGG16,0.9974358974358974,0.6946428571428571
VGG16,0.9974358974358974,0.6958855098389982
VGG16,0.9974358974358974,0.6971326164874552
VGG16,0.9974358974358974,0.6983842010771992
VGG16,0.9974358974358974,0.6996402877697842
VGG16,0.9974358974358974,0.7009009009009008
VGG16,0.9974358974358974,0.7021660649819494
VGG16,0.9974358974358974,0.7034358047016275
VGG16,0.9974358974358974,0.7047101449275363
VGG16,0.9974358974358974,0.705989110707804
VGG16,0.9974358974358974,0.7072727272727273
VGG16,0.9974358974358974,0.7085610200364298
VGG16,0.9974358974358974,0.7098540145985401
VGG16,0.9974358974358974,0.7111517367458866
VGG16,0.9974358974358974,0.7124542124542125
VGG16,0.9974358974358974,0.7137614678899082
VGG16,0.9974358974358974,0.7150735294117647
VGG16,0.9974358974358974,0.716390423572744
VGG16,0.9974358974358974,0.7177121771217713
VGG16,0.9974358974358974,0.7190388170055453
VGG16,0.9974358974358974,0.7203703703703703
VGG16,0.9974358974358974,0.7217068645640075
VGG16,0.9974358974358974,0.7230483271375465
VGG16,0.9974358974358974,0.7243947858472998
VGG16,0.9974358974358974,0.7257462686567164
VGG16,0.9974358974358974,0.7271028037383177
VGG16,0.9974358974358974,0.7284644194756554
VGG16,0.9974358974358974,0.7298311444652908
VGG16,0.9974358974358974,0.731203007518797
VGG16,0.9974358974358974,0.7325800376647834
VGG16,0.9974358974358974,0.7339622641509433
VGG16,0.9974358974358974,0.7353497164461248
VGG16,0.9974358974358974,0.7367424242424242
VGG16,0.9974358974358974,0.7381404174573055
VGG16,0.9974358974358974,0.7395437262357415
VGG16,0.9974358974358974,0.7409523809523809
VGG16,0.9974358974358974,0.7423664122137404
VGG16,0.9974358974358974,0.7437858508604207
VGG16,0.9974358974358974,0.7452107279693486
VGG16,0.9974358974358974,0.746641074856046
VGG16,0.9974358974358974,0.7480769230769231
VGG16,0.9974358974358974,0.7495183044315993
VGG16,0.9974358974358974,0.750965250965251
VGG16,0.9974358974358974,0.7524177949709865
VGG16,0.9974358974358974,0.7538759689922481
VGG16,0.9974358974358974,0.7568093385214008
VGG16,0.9974358974358974,0.7582846003898636
VGG16,0.9974358974358974,0.759765625
VGG16,0.9974358974358974,0.761252446183953
VGG16,0.9974358974358974,0.7627450980392156
VGG16,0.9974358974358974,0.7642436149312377
VGG16,0.9974358974358974,0.765748031496063
VGG16,0.9974358974358974,0.7672583826429981
VGG16,0.9974358974358974,0.7687747035573123
VGG16,0.9974358974358974,0.7702970297029703
VGG16,0.9974358974358974,0.7718253968253969
VGG16,0.9974358974358974,0.7733598409542743
VGG16,0.9974358974358974,0.7764471057884231
VGG16,0.9974358974358974,0.778
VGG16,0.9948717948717949,0.7775551102204409
VGG16,0.9948717948717949,0.7791164658634538
VGG16,0.9948717948717949,0.7806841046277666
VGG16,0.9948717948717949,0.782258064516129
VGG16,0.9948717948717949,0.7838383838383839
VGG16,0.9923076923076923,0.7834008097165992
VGG16,0.9923076923076923,0.7849898580121704
VGG16,0.9923076923076923,0.7865853658536586
VGG16,0.9923076923076923,0.7881873727087576
VGG16,0.9923076923076923,0.789795918367347
VGG16,0.9897435897435898,0.7893660531697342
VGG16,0.9897435897435898,0.7909836065573771
VGG16,0.9897435897435898,0.7926078028747433
VGG16,0.9897435897435898,0.7942386831275721
VGG16,0.9897435897435898,0.7958762886597938
VGG16,0.9897435897435898,0.7975206611570248
VGG16,0.9897435897435898,0.7991718426501035
VGG16,0.9897435897435898,0.8008298755186722
VGG16,0.9897435897435898,0.8024948024948025
VGG16,0.9897435897435898,0.8041666666666667
VGG16,0.9897435897435898,0.8058455114822547
VGG16,0.9897435897435898,0.8075313807531381
VGG16,0.9897435897435898,0.8092243186582809
VGG16,0.9897435897435898,0.8109243697478992
VGG16,0.9897435897435898,0.8126315789473684
VGG16,0.9897435897435898,0.8143459915611815
VGG16,0.9871794871794872,0.813953488372093
VGG16,0.9871794871794872,0.815677966101695
VGG16,0.9871794871794872,0.8174097664543525
VGG16,0.9871794871794872,0.8191489361702128
VGG16,0.9871794871794872,0.8208955223880597
VGG16,0.9846153846153847,0.8205128205128205
VGG16,0.9846153846153847,0.8222698072805139
VGG16,0.9846153846153847,0.8240343347639485
VGG16,0.9846153846153847,0.8258064516129032
VGG16,0.9846153846153847,0.8275862068965517
VGG16,0.9846153846153847,0.8293736501079914
VGG16,0.9846153846153847,0.8311688311688312
VGG16,0.9846153846153847,0.8329718004338394
VGG16,0.9846153846153847,0.8347826086956521
VGG16,0.9846153846153847,0.8366013071895425
VGG16,0.9846153846153847,0.8384279475982532
VGG16,0.9846153846153847,0.8402625820568927
VGG16,0.9846153846153847,0.843956043956044
VGG16,0.9846153846153847,0.8458149779735683
VGG16,0.982051282051282,0.8454746136865342
VGG16,0.982051282051282,0.8473451327433629
VGG16,0.982051282051282,0.8492239467849224
VGG16,0.982051282051282,0.8511111111111112
VGG16,0.982051282051282,0.8530066815144766
VGG16,0.982051282051282,0.8549107142857143
VGG16,0.9794871794871794,0.854586129753915
VGG16,0.9794871794871794,0.8565022421524664
VGG16,0.9794871794871794,0.8584269662921349
VGG16,0.9794871794871794,0.8603603603603603
VGG16,0.9769230769230769,0.8600451467268623
VGG16,0.9743589743589743,0.8597285067873304
VGG16,0.9743589743589743,0.8616780045351474
VGG16,0.9743589743589743,0.8636363636363636
VGG16,0.9743589743589743,0.8656036446469249
VGG16,0.9743589743589743,0.867579908675799
VGG16,0.9743589743589743,0.8695652173913043
VGG16,0.9717948717948718,0.8692660550458715
VGG16,0.9717948717948718,0.871264367816092
VGG16,0.9717948717948718,0.8732718894009217
VGG16,0.9717948717948718,0.8752886836027713
VGG16,0.9717948717948718,0.8773148148148148
VGG16,0.9717948717948718,0.8793503480278422
VGG16,0.9717948717948718,0.8813953488372093
VGG16,0.9717948717948718,0.8834498834498834
VGG16,0.9692307692307692,0.883177570093458
