model,roc_auc,average_precision,test_inference_seconds_total,test_inference_ms_per_image
VGG16,0.9445321060705677,0.9567263259376405,3.3041388820001885,5.295094362179789
DenseNet121,0.9454087223317993,0.9559614716948966,9.54396336300033,15.294813081731299
ResNet50,0.9419789612097305,0.9659388237579914,6.220228836999922,9.968315443910132
