epoch,stage,accuracy,val_accuracy,loss,val_loss
1,Stage 1,0.8849693536758423,0.625,0.25519296526908875,0.6180161237716675
2,Stage 1,0.9330905079841614,0.5,0.17196711897850037,2.0557258129119873
3,Stage 1,0.9384585618972778,0.5,0.1562839299440384,2.1010513305664062
4,Stage 1,0.943443238735199,0.6875,0.13915617763996124,0.6780412197113037
5,Stage 1,0.9486196041107178,0.5625,0.13635234534740448,2.115170955657959
6,Stage 1,0.9513036608695984,0.75,0.12550853192806244,0.8123469352722168
7,Stage 1,0.9524539709091187,0.625,0.12347446382045746,1.4897934198379517
8,Stage 1,0.952262282371521,0.5625,0.12368687987327576,1.4148337841033936
9,Stage 1,0.9524539709091187,0.5625,0.11502888798713684,1.378586769104004
10,Stage 1,0.9536042809486389,0.5,0.1215117871761322,1.7736246585845947
11,Stage 1,0.9516870975494385,0.75,0.1243823915719986,0.7642075419425964
12,Stage 2,0.9378834366798401,0.5,0.1572408676147461,4.549617767333984
13,Stage 2,0.9491947889328003,0.5625,0.13364164531230927,2.1887094974517822
14,Stage 2,0.9499616622924805,0.8125,0.12284517288208008,0.2827986180782318
15,Stage 2,0.9526457190513611,0.75,0.11923718452453613,0.5141181945800781
16,Stage 2,0.9560966491699219,0.8125,0.11205299943685532,0.36487555503845215
17,Stage 2,0.959930956363678,0.6875,0.09685490280389786,0.7941615581512451
18,Stage 2,0.9605061411857605,0.75,0.10551188141107559,0.4705711603164673
19,Stage 2,0.9683665633201599,0.75,0.08129949867725372,0.3617452383041382
