epoch,stage,accuracy,val_accuracy,loss,val_loss
1,Stage 1,0.8859279155731201,0.5,0.23401203751564026,1.142915964126587
2,Stage 1,0.9390337467193604,0.625,0.14787305891513824,0.8389310836791992
3,Stage 1,0.9505367875099182,0.625,0.1292659342288971,0.7330101132392883
4,Stage 1,0.9518788456916809,0.75,0.11690209805965424,0.3294074535369873
5,Stage 1,0.9551380276679993,0.9375,0.1130659282207489,0.21255870163440704
6,Stage 1,0.952262282371521,0.5625,0.11838767677545547,0.8941592574119568
7,Stage 1,0.9514954090118408,0.8125,0.1189049780368805,0.3635239005088806
8,Stage 1,0.9543711543083191,1.0,0.10436027497053146,0.1400212049484253
9,Stage 1,0.9622315764427185,1.0,0.10083496570587158,0.16198167204856873
10,Stage 1,0.9612730145454407,0.6875,0.09970360994338989,0.44461241364479065
11,Stage 1,0.9616564512252808,0.9375,0.0941128209233284,0.15321364998817444
12,Stage 1,0.9633818864822388,0.9375,0.09432754665613174,0.160959854722023
13,Stage 1,0.9635736346244812,0.9375,0.09272205084562302,0.22395074367523193
14,Stage 2,0.9647239446640015,0.875,0.0936964899301529,0.19172270596027374
15,Stage 2,0.9745015501976013,0.875,0.06778533011674881,0.22169458866119385
16,Stage 2,0.9817867875099182,0.9375,0.048435475677251816,0.13487756252288818
17,Stage 2,0.9840874075889587,0.9375,0.04498330503702164,0.14425380527973175
18,Stage 2,0.9848542809486389,0.9375,0.039911966770887375,0.13312040269374847
19,Stage 2,0.9869632124900818,0.9375,0.03338897228240967,0.16223588585853577
20,Stage 2,0.9909892678260803,0.9375,0.027836650609970093,0.10086721181869507
21,Stage 2,0.9904140830039978,0.875,0.02969847433269024,0.2935713827610016
