model,fpr,tpr
VGG16,0.0,0.0
VGG16,0.0,0.002564102564102564
VGG16,0.0,0.07692307692307693
VGG16,0.004273504273504274,0.07692307692307693
VGG16,0.004273504273504274,0.24358974358974358
VGG16,0.004273504273504274,0.24871794871794872
VGG16,0.004273504273504274,0.26666666666666666
VGG16,0.008547008547008548,0.26666666666666666
VGG16,0.008547008547008548,0.30256410256410254
VGG16,0.017094017094017096,0.30256410256410254
VGG16,0.017094017094017096,0.37948717948717947
VGG16,0.021367521367521368,0.37948717948717947
VGG16,0.021367521367521368,0.41794871794871796
VGG16,0.02564102564102564,0.41794871794871796
VGG16,0.02564102564102564,0.43333333333333335
VGG16,0.029914529914529916,0.43333333333333335
VGG16,0.029914529914529916,0.4846153846153846
VGG16,0.03418803418803419,0.4846153846153846
VGG16,0.03418803418803419,0.5641025641025641
VGG16,0.038461538461538464,0.5641025641025641
VGG16,0.038461538461538464,0.5794871794871795
VGG16,0.042735042735042736,0.5794871794871795
VGG16,0.042735042735042736,0.5820512820512821
VGG16,0.04700854700854701,0.5820512820512821
VGG16,0.04700854700854701,0.6
VGG16,0.05128205128205128,0.6
VGG16,0.05128205128205128,0.6307692307692307
VGG16,0.05128205128205128,0.6358974358974359
VGG16,0.05128205128205128,0.6384615384615384
VGG16,0.05128205128205128,0.6435897435897436
VGG16,0.05128205128205128,0.6461538461538462
VGG16,0.05982905982905983,0.6461538461538462
VGG16,0.05982905982905983,0.6820512820512821
VGG16,0.0641025641025641,0.6820512820512821
VGG16,0.0641025641025641,0.6846153846153846
VGG16,0.06837606837606838,0.6846153846153846
VGG16,0.06837606837606838,0.7487179487179487
VGG16,0.07264957264957266,0.7487179487179487
VGG16,0.07264957264957266,0.7794871794871795
VGG16,0.07692307692307693,0.7794871794871795
VGG16,0.07692307692307693,0.7871794871794872
VGG16,0.0811965811965812,0.7871794871794872
VGG16,0.0811965811965812,0.7974358974358975
VGG16,0.08547008547008547,0.7974358974358975
VGG16,0.08547008547008547,0.8051282051282052
VGG16,0.08974358974358974,0.8051282051282052
VGG16,0.08974358974358974,0.8435897435897436
VGG16,0.09401709401709402,0.8435897435897436
VGG16,0.09401709401709402,0.8487179487179487
VGG16,0.09829059829059829,0.8487179487179487
VGG16,0.09829059829059829,0.882051282051282
VGG16,0.1111111111111111,0.882051282051282
VGG16,0.1111111111111111,0.8923076923076924
VGG16,0.11538461538461539,0.8923076923076924
VGG16,0.11538461538461539,0.9
VGG16,0.11965811965811966,0.9
VGG16,0.11965811965811966,0.9102564102564102
VGG16,0.12393162393162394,0.9102564102564102
VGG16,0.12393162393162394,0.9205128205128205
VGG16,0.1282051282051282,0.9205128205128205
VGG16,0.1282051282051282,0.9230769230769231
VGG16,0.13675213675213677,0.9230769230769231
VGG16,0.13675213675213677,0.9256410256410257
VGG16,0.1581196581196581,0.9256410256410257
VGG16,0.1581196581196581,0.9333333333333333
VGG16,0.1794871794871795,0.9333333333333333
VGG16,0.1794871794871795,0.9358974358974359
VGG16,0.18376068376068377,0.9358974358974359
VGG16,0.18376068376068377,0.9384615384615385
VGG16,0.18803418803418803,0.9384615384615385
VGG16,0.18803418803418803,0.9435897435897436
VGG16,0.19658119658119658,0.9435897435897436
VGG16,0.19658119658119658,0.9461538461538461
VGG16,0.20085470085470086,0.9461538461538461
VGG16,0.20085470085470086,0.9487179487179487
VGG16,0.20512820512820512,0.9487179487179487
VGG16,0.20512820512820512,0.9538461538461539
VGG16,0.2094017094017094,0.9538461538461539
VGG16,0.2094017094017094,0.9564102564102565
VGG16,0.21367521367521367,0.9564102564102565
VGG16,0.21367521367521367,0.9717948717948718
VGG16,0.24358974358974358,0.9717948717948718
VGG16,0.24358974358974358,0.9743589743589743
VGG16,0.26495726495726496,0.9743589743589743
VGG16,0.26495726495726496,0.9794871794871794
VGG16,0.2777777777777778,0.9794871794871794
VGG16,0.2777777777777778,0.982051282051282
VGG16,0.29914529914529914,0.982051282051282
VGG16,0.29914529914529914,0.9846153846153847
VGG16,0.3034188034188034,0.9846153846153847
VGG16,0.31196581196581197,0.9846153846153847
VGG16,0.358974358974359,0.9846153846153847
VGG16,0.358974358974359,0.9871794871794872
VGG16,0.37606837606837606,0.9871794871794872
VGG16,0.37606837606837606,0.9897435897435898
VGG16,0.44017094017094016,0.9897435897435898
VGG16,0.44017094017094016,0.9923076923076923
VGG16,0.45726495726495725,0.9923076923076923
VGG16,0.45726495726495725,0.9948717948717949
VGG16,0.47435897435897434,0.9948717948717949
VGG16,0.47435897435897434,0.9974358974358974
VGG16,0.47863247863247865,0.9974358974358974
VGG16,0.48717948717948717,0.9974358974358974
VGG16,0.5341880341880342,0.9974358974358974
VGG16,0.5427350427350427,0.9974358974358974
VGG16,0.9188034188034188,0.9974358974358974
VGG16,0.9188034188034188,1.0
VGG16,1.0,1.0
DenseNet121,0.0,0.0
DenseNet121,0.0,0.002564102564102564
DenseNet121,0.0,0.05128205128205128
DenseNet121,0.004273504273504274,0.05128205128205128
DenseNet121,0.004273504273504274,0.08974358974358974
DenseNet121,0.008547008547008548,0.08974358974358974
DenseNet121,0.008547008547008548,0.2512820512820513
DenseNet121,0.01282051282051282,0.2512820512820513
DenseNet121,0.01282051282051282,0.26153846153846155
DenseNet121,0.017094017094017096,0.26153846153846155
DenseNet121,0.017094017094017096,0.3769230769230769
DenseNet121,0.017094017094017096,0.382051282051282
DenseNet121,0.017094017094017096,0.517948717948718
DenseNet121,0.021367521367521368,0.517948717948718
DenseNet121,0.021367521367521368,0.5230769230769231
DenseNet121,0.02564102564102564,0.5230769230769231
DenseNet121,0.02564102564102564,0.5282051282051282
DenseNet121,0.02564102564102564,0.5333333333333333
DenseNet121,0.02564102564102564,0.5538461538461539
DenseNet121,0.029914529914529916,0.5538461538461539
DenseNet121,0.029914529914529916,0.558974358974359
DenseNet121,0.03418803418803419,0.558974358974359
DenseNet121,0.03418803418803419,0.5743589743589743
DenseNet121,0.038461538461538464,0.5743589743589743
DenseNet121,0.038461538461538464,0.6205128205128205
DenseNet121,0.042735042735042736,0.6205128205128205
DenseNet121,0.042735042735042736,0.6564102564102564
DenseNet121,0.042735042735042736,0.6615384615384615
DenseNet121,0.042735042735042736,0.6743589743589744
DenseNet121,0.04700854700854701,0.6743589743589744
DenseNet121,0.04700854700854701,0.7153846153846154
DenseNet121,0.05128205128205128,0.7153846153846154
DenseNet121,0.05128205128205128,0.7487179487179487
DenseNet121,0.05555555555555555,0.7487179487179487
DenseNet121,0.05555555555555555,0.782051282051282
DenseNet121,0.05982905982905983,0.782051282051282
DenseNet121,0.05982905982905983,0.7948717948717948
DenseNet121,0.0641025641025641,0.7948717948717948
DenseNet121,0.0641025641025641,0.8307692307692308
DenseNet121,0.07264957264957266,0.8307692307692308
DenseNet121,0.07264957264957266,0.8358974358974359
DenseNet121,0.07692307692307693,0.8358974358974359
DenseNet121,0.07692307692307693,0.8384615384615385
DenseNet121,0.08547008547008547,0.8384615384615385
